arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_level_only,3,6,4,7,9,11,20.2647,34.8692,1.75,61.0211,3.3901,0.0116
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_slope_only,3,6,4,7,9,11,20.2647,34.8692,1.75,61.0211,3.3901,0.0116
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_mixed_effects_per_intervention,2,9,5,10,11,15,30.5293,51.8915,1.1111,57.6572,3.2032,0.0173
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_effect_consistency,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_cumulative_effect,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_plot,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_get_plot_data,1,7,6,12,8,18,19.6515,54.0,0.8571,46.2857,2.5714,0.018
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_ols_summary,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_extract_interruption_times,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_single_interruption,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_multiple_interruptions,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_level_only,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_slope_only,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_plot,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_get_plot_data,1,6,5,10,7,15,15.5098,42.1103,0.8333,35.0919,1.9496,0.014
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_pymc_summary,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_with_controls,5,19,10,20,24,30,92.3203,137.5489,2.6316,361.9707,20.1095,0.0458
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_with_categorical_control,5,19,10,20,24,30,92.3203,137.5489,2.6316,361.9707,20.1095,0.0458
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_datetime_time,4,13,7,14,17,21,56.1057,85.8367,2.1538,184.8791,10.2711,0.0286
causalpy/tests/test_piecewise_its.py,funcao,test_piecewise_its_datetime_multiple_interruptions,4,18,10,20,22,30,83.0587,133.7829,2.2222,297.2954,16.5164,0.0446
