arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
causalpy/custom_exceptions.py,3,1.0,1,3,A,BadIndexException,__init__,29
causalpy/tests/test_base_experiment_abc.py,1,1.0,1,1,A,,test_cannot_instantiate_without_effect_summary,23
causalpy/tests/test_deprecated_design_aliases.py,12,1.0,1,12,A,,_make_did,35
causalpy/tests/test_model_experiment_compatability.py,4,1.0,1,4,A,,test_olsmodel_and_regressionkink,26
causalpy/tests/conftest.py,14,1.21,4,17,A,,mock_sample_for_doctest,72
causalpy/checks/base.py,3,1.33,2,4,A,,clone_model,34
causalpy/experiments/model_adapter.py,33,1.42,9,47,B,,make_model_adapter,409
causalpy/tests/test_hdi_prob_wiring.py,36,1.44,5,52,A,,fitted_panel,200
causalpy/tests/test_timeseries_model_coverage.py,31,1.52,5,47,A,TestTimeSeriesModelCloneIsUnfitted,test_clone_after_fit_does_not_inherit_idata,533
causalpy/experiments/instrumental_variable.py,9,1.56,3,14,A,InstrumentalVariable,algorithm,165
causalpy/experiments/prepostnegd.py,11,1.64,4,18,A,PrePostNEGD,algorithm,138
causalpy/skl_models.py,9,1.67,4,15,A,,_add_mixin_methods,153
causalpy/tests/test_ipw_extreme_ps.py,7,1.71,4,12,A,TestPreparePs,test_clips_zeros,90
causalpy/experiments/synthetic_difference_in_differences.py,18,1.94,5,35,A,SyntheticDifferenceInDifferences,input_validation,158
causalpy/date_utils.py,3,2.0,3,6,A,,format_date_axis,44
causalpy/plot_utils.py,2,2.0,3,4,A,,plot_xY,32
causalpy/checks/persistence.py,3,2.0,4,6,A,PersistenceCheck,validate,60
causalpy/experiments/inverse_propensity_weighting.py,21,2.0,9,42,B,InversePropensityWeighting,plot_balance_ecdf,757
causalpy/tests/test_date_utils.py,12,2.0,3,24,A,TestCombineDatetimeIndices,test_handles_empty_indices,50
causalpy/tests/test_default_models.py,6,2.0,6,12,B,,test_experiment_uses_default_model_when_model_is_none,191
causalpy/tests/test_sensitivity_container.py,29,2.03,6,59,B,TestCheckResult,test_defaults,141
causalpy/tests/test_pipeline.py,30,2.07,6,62,B,TestPipelineContext,test_defaults,144
causalpy/experiments/regression_kink.py,12,2.08,7,25,B,RegressionKink,_bayesian_plot,299
causalpy/pipeline.py,5,2.2,5,11,A,Pipeline,__init__,179
causalpy/experiments/base.py,22,2.23,12,49,C,,_apply_legend_kwargs,39
causalpy/steps/estimate_effect.py,4,2.25,4,9,A,EstimateEffect,validate,63
causalpy/tests/test_data_loading.py,4,2.25,3,9,A,,test_data_loading,28
causalpy/tests/test_validate_docstring_lists.py,8,2.25,3,18,A,,test_flags_inline_bullet_list_for_each_marker,51
causalpy/tests/test_input_validation.py,35,2.26,8,79,B,,test_synthetic_control_donor_correlation_warning_message_contents,950
causalpy/checks/mccrary.py,3,2.33,4,7,A,McCraryDensityTest,run,77
causalpy/checks/pre_treatment_placebo.py,3,2.33,3,7,A,PreTreatmentPlaceboCheck,validate,51
causalpy/utils.py,10,2.4,4,24,A,,get_interaction_terms,142
causalpy/tests/test_generate_report.py,20,2.45,4,49,A,TestGenerateReport,test_run_produces_html,61
causalpy/tests/test_method_specific_checks.py,28,2.46,7,69,B,TestMcCraryDensityTest,test_run_on_rd,225
causalpy/transforms.py,12,2.5,4,30,A,StepTransform,_is_datetime_like,78
causalpy/tests/test_check_public_exports.py,6,2.5,3,15,A,,_load_script_module,30
causalpy/tests/test_pymc_models_compat.py,6,2.5,3,15,A,,test_call_seasonality_component_apply_supports_tensor_input,25
causalpy/tests/test_cross_cutting_checks.py,27,2.52,7,68,B,TestPreTreatmentPlaceboCheckRun,test_run_passing_pre_treatment,340
causalpy/data/simulate_data.py,17,2.53,10,43,B,,generate_piecewise_its_data,703
causalpy/tests/test_notebook_validation.py,15,2.53,6,38,B,,test_validate_notebooks_reports_schema_details_for_invalid_output,77
causalpy/tests/test_check_architecture_inventory.py,11,2.55,4,28,A,,test_introspected_backends_match_known_experiments,61
causalpy/variable_selection_priors.py,12,2.67,5,32,A,VariableSelectionPrior,create_prior,349
causalpy/tests/test_outcome_falsification.py,36,2.67,14,96,C,,test_run_across_applicable_methods,516
causalpy/experiments/regression_discontinuity.py,11,2.82,7,31,B,RegressionDiscontinuity,_build_design_matrices,127
causalpy/tests/test_placebo_in_time.py,81,2.85,10,231,B,,test_assurance_with_numpy_array,698
causalpy/tests/test_model_adapter.py,11,2.91,7,32,B,,test_make_model_adapter_sklearn_coercion_and_fit_intercept_warning,60
causalpy/tests/test_sdid_helpers.py,20,2.95,15,59,C,TestBuildWeightFitterInputs,test_shapes_and_coords,112
causalpy/data/datasets.py,1,3.0,3,3,A,,load_data,77
causalpy/tests/test_custom_exceptions.py,1,3.0,3,3,A,,test_custom_exceptions_preserve_message,31
causalpy/maketables_adapters.py,22,3.09,12,68,C,,_safe_r2_value,107
causalpy/tests/test_piecewise_its.py,79,3.1,12,245,C,,test_piecewise_its_instance_attributes,959
causalpy/steps/sensitivity.py,7,3.14,6,22,B,SensitivitySummary,from_results,79
causalpy/experiments/diff_in_diff.py,13,3.23,16,42,C,DifferenceInDifferences,algorithm,149
causalpy/tests/test_maketables_plugin.py,63,3.27,12,206,C,,test_maketables_pymc_stat_hooks,787
causalpy/tests/test_instrumental_variable.py,21,3.29,7,69,B,,test_iv_design_matrices_shape,109
causalpy/pymc_models.py,54,3.3,17,178,C,BayesianBasisExpansionTimeSeries,_prepare_time_and_exog_features,1863
causalpy/steps/report.py,5,3.4,11,17,C,GenerateReport,run,98
