arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
causalpy/constants.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/custom_exceptions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/version.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/checks/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/data/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/experiments/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/skills/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/steps/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_base_experiment_abc.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_deprecated_design_aliases.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/test_model_experiment_compatability.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/tests/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
causalpy/checks/base.py,arquivo,,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
causalpy/tests/test_custom_exceptions.py,arquivo,,1,2,2,4,3,6,2.0,9.5098,1.0,9.5098,0.5283,0.0032
causalpy/checks/convex_hull.py,arquivo,,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
causalpy/data/datasets.py,arquivo,,2,5,3,6,7,9,13.6096,25.2662,1.2,30.3194,1.6844,0.0084
causalpy/tests/test_sklearn_clone_fit_intercept.py,arquivo,,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
causalpy/plot_utils.py,arquivo,,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
causalpy/steps/estimate_effect.py,arquivo,,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
causalpy/tests/test_data_loading.py,arquivo,,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
causalpy/tests/test_ipw_extreme_ps.py,arquivo,,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
causalpy/checks/persistence.py,arquivo,,3,6,4,6,9,10,20.2647,31.6993,1.5,47.5489,2.6416,0.0106
causalpy/checks/pre_treatment_placebo.py,arquivo,,3,6,4,6,9,10,20.2647,31.6993,1.5,47.5489,2.6416,0.0106
causalpy/tests/test_pymc_models_compat.py,arquivo,,1,16,8,16,17,24,64.0,98.0991,0.5,49.0496,2.725,0.0327
causalpy/tests/test_date_utils.py,arquivo,,3,9,6,9,12,15,33.2842,53.7744,1.5,80.6617,4.4812,0.0179
causalpy/pipeline.py,arquivo,,2,7,8,13,9,21,21.6515,66.5684,1.8571,123.6271,6.8682,0.0222
causalpy/steps/sensitivity.py,arquivo,,5,9,5,9,14,14,40.139,53.303,2.5,133.2574,7.4032,0.0178
causalpy/steps/report.py,arquivo,,3,13,9,18,16,27,52.8606,108.0,2.0769,224.3077,12.4615,0.036
causalpy/tests/test_integration_skl_examples.py,arquivo,,5,16,8,16,21,24,75.6096,105.4156,2.5,263.539,14.6411,0.0351
causalpy/date_utils.py,arquivo,,6,14,8,14,20,22,68.8127,95.0824,3.0,285.2473,15.8471,0.0317
causalpy/tests/test_model_adapter_normalization.py,arquivo,,4,25,14,25,29,39,124.0964,189.4613,2.0,378.9225,21.0513,0.0632
causalpy/experiments/instrumental_variable.py,arquivo,,7,12,8,14,19,22,62.671,93.4544,4.0833,381.6055,21.2003,0.0312
causalpy/tests/test_synthetic_data.py,arquivo,,4,21,12,24,25,36,100.2387,167.1788,2.2857,382.123,21.2291,0.0557
